MTCOPIA2_I	Ty1/copia	AleII
SHACOP11_I_MT	Ty1/copia	AleII
SHACOP12_I_MT	Ty1/copia	AleII
SHACOP23_I_MT	Ty1/copia	AleII
SHACOP6_I_MT	Ty1/copia	AleII
SHACOP7_I_MT	Ty1/copia	AleII
Tvv1_I	Ty1/copia	AleII
Wicker_Alina_At-1	Ty1/copia	AleII
Wicker_Ally_Os_cons	Ty1/copia	AleII
Wicker_Alva_At-101	Ty1/copia	AleII
Wicker_ATCopia11_At-110	Ty1/copia	AleII
Wicker_ATCopia11_At-116	Ty1/copia	AleII
Wicker_ATCopia12_At-102	Ty1/copia	AleII
Wicker_ATCopia12_At-3	Ty1/copia	AleII
Wicker_ATCopia13_At-106	Ty1/copia	AleII
Wicker_ATCopia22_At-109	Ty1/copia	AleII
Wicker_ATCopia26_At-103	Ty1/copia	AleII
Wicker_ATCopia38B_At-112	Ty1/copia	AleII
Wicker_ATCopia70_At-113	Ty1/copia	AleII
Wicker_ATCopia75_At-114	Ty1/copia	AleII
Wicker_ATCopia83_At-108	Ty1/copia	AleII
Wicker_Betsy_Os_cons	Ty1/copia	AleII
Wicker_Boba_AY494981-1	Ty1/copia	AleII
Wicker_Leona_Os_cons	Ty1/copia	AleII
Wicker_rn_154-162_Os_cons	Ty1/copia	AleII
Wicker_Brina_Os-105	Ty1/copia	AleII
Copia-13_SB-I	Ty1/copia	Angela
Copia-18_SB-I	Ty1/copia	Angela
Copia7-ZM_I	Ty1/copia	Angela
OSTONOR1_I	Ty1/copia	Angela
RIRE1_I	Ty1/copia	Angela
Wicker_Adena_Os_cons	Ty1/copia	Angela
Wicker_Angela_A_cons	Ty1/copia	Angela
Wicker_Angela_C_AF497474-1	Ty1/copia	Angela
Wicker_Anika_At_cons	Ty1/copia	Angela
Wicker_BARE1_B_cons	Ty1/copia	Angela
Wicker_BARE1_C_cons	Ty1/copia	Angela
Wicker_Ikeros_A_102J11-1	Ty1/copia	Angela
Wicker_Ostonor1_Os_cons	Ty1/copia	Angela
Wicker_WIS_B_cons	Ty1/copia	Angela
Wicker_Angela_B_cons	Ty1/copia	Angela
Wicker_BARE1_A_cons	Ty1/copia	Angela
Wicker_BARE2_AJ279072	Ty1/copia	Angela
Wicker_WIS_A_cons	Ty1/copia	Angela
Wicker_WIS_C_294D11-5	Ty1/copia	Angela
ATCOPIA27_I	Ty1/copia	Bianca
Wicker_Beyla_A_Os_cons	Ty1/copia	Bianca
